Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.157137,    12.7709,   115.36,    12.7873,    -4.73,    12.7616,  -124.74,          0,     0.00, 6.91304E-8,   -36.80,    12.7709,   -64.64,    12.7873,   175.27,    12.7616,    55.26,          0,     0.00, 6.91304E-8,   143.20
Line.157138,    12.7709,   115.36,    12.7873,    -4.73,    12.7616,  -124.74,          0,     0.00, 6.85039E-8,   -36.22,    12.7709,   -64.64,    12.7873,   175.27,    12.7616,    55.26,          0,     0.00, 6.81256E-8,   143.79
Line.157142,    233.997,   -40.89,    199.633,  -156.35,    232.731,    79.21,          0,     0.00,    37.8804,    -7.06,    233.997,   139.11,    199.633,    23.65,    232.731,  -100.79,          0,     0.00,    37.8804,   172.94
Line.157143,     218.96,   -39.14,    184.724,  -153.80,    217.603,    81.01,          0,     0.00,    38.3989,    -7.21,     218.96,   140.86,    184.724,    26.20,    217.603,   -98.99,          0,     0.00,    38.3989,   172.79
Line.157144,    214.381,   -38.53,     180.37,  -152.93,    213.032,    81.62,          0,     0.00,    38.4328,    -7.26,    214.381,   141.47,     180.37,    27.07,    213.032,   -98.38,          0,     0.00,    38.4328,   172.74
Line.157145,     218.96,   -39.14,    184.713,  -153.79,    217.603,    81.01,          0,     0.00,    38.4328,    -7.26,     218.96,   140.86,    184.713,    26.21,    217.603,   -98.99,          0,     0.00,    38.4328,   172.74
Line.157147,    2.56107,   114.48,    2.56337,    -5.53,    2.56171,  -125.57,          0,     0.00, 1.50169E-8,   -35.89,    2.56107,   -65.52,    2.56337,   174.47,    2.56171,    54.43,          0,     0.00, 1.50169E-8,   144.11
Line.157148,    5.12084,   114.57,    5.12563,    -5.45,    5.12165,  -125.49,          0,     0.00, 2.97237E-8,   -34.47,    5.12084,   -65.43,    5.12563,   174.55,    5.12165,    54.51,          0,     0.00, 2.97237E-8,   145.53
Line.157149,    5.12084,   114.57,    5.12563,    -5.45,    5.12165,  -125.49,          0,     0.00, 3.04616E-8,   -35.05,    5.12083,   -65.43,    5.12563,   174.55,    5.12165,    54.51,          0,     0.00, 3.01528E-8,   144.94
Line.157150,    2.06269,   -65.30,   0.264761,   173.62,   0.274614,    53.84,          0,     0.00,    1.79233,   -64.88,    2.06269,   114.70,   0.264761,    -6.38,   0.274614,  -126.16,          0,     0.00,    1.79233,   115.12
Line.157151,     1.8126,   -65.11, 2.69221E-8,   -70.14, 2.67812E-8,   169.92,          0,     0.00,     1.8126,   -65.11,     1.8126,   114.89, 5.12232E-11,    16.50, 2.91038E-11,   180.00,          0,     0.00,     1.8126,   114.89
Line.157152,    212.542,   -38.28,    180.149,  -152.89,    212.789,    81.66,          0,     0.00,    37.5037,    -4.94,    212.542,   141.72,    180.149,    27.11,    212.789,   -98.34,          0,     0.00,    37.5037,   175.06
Line.157153,    12.2305,   114.57,          0,     0.00,          0,     0.00,          0,     0.00,    12.2305,   114.57,    12.2305,   -65.43,          0,     0.00,          0,     0.00,          0,     0.00,    12.2305,   -65.43
Line.157155,    12.2305,   -65.43,          0,     0.00,          0,     0.00,          0,     0.00,    12.2305,   -65.43,    12.2305,   114.57,          0,     0.00,          0,     0.00,          0,     0.00,    12.2305,   114.57
Line.157156,     7.3325,   -65.32,          0,     0.00,          0,     0.00,          0,     0.00,     7.3325,   -65.32,     7.3325,   114.68,          0,     0.00,          0,     0.00,          0,     0.00,     7.3325,   114.68
Line.157157,    4.88829,   -65.32,          0,     0.00,          0,     0.00,          0,     0.00,    4.88829,   -65.32,    4.88829,   114.68,          0,     0.00,          0,     0.00,          0,     0.00,    4.88829,   114.68
Line.157158,    2.44421,   -65.32,          0,     0.00,          0,     0.00,          0,     0.00,    2.44421,   -65.32,    2.44421,   114.68,          0,     0.00,          0,     0.00,          0,     0.00,    2.44421,   114.68
Line.157159,    2.44408,   -65.31,          0,     0.00,          0,     0.00,          0,     0.00,    2.44408,   -65.31,    2.44408,   114.69,          0,     0.00,          0,     0.00,          0,     0.00,    2.44408,   114.69
Line.157160,    201.736,   -36.69,    180.149,  -152.89,    212.789,    81.66,          0,     0.00,    33.2288,    13.74,    201.736,   143.31,    180.149,    27.11,    212.789,   -98.34,          0,     0.00,    33.2288,  -166.26
Line.157163,    2.55941,   -65.46,    2.56231,   174.50,    2.55963,    54.46,          0,     0.00, 1.75193E-8,   149.00,    2.55941,   114.54,    2.56231,    -5.50,    2.55963,  -125.54,          0,     0.00, 1.74426E-8,   -32.05
Line.157165,    2.55941,   -65.46,    2.56231,   174.50,    2.55963,    54.46,          0,     0.00, 1.75213E-8,   147.95,    2.55941,   114.54,    2.56231,    -5.50,    2.55963,  -125.54,          0,     0.00, 1.76882E-8,   -32.38
Line.157167,    2.55941,   -65.46,    2.56231,   174.50,    2.55963,    54.46,          0,     0.00,  1.8001E-8,   148.55,    2.55941,   114.54,    2.56231,    -5.50,    2.55963,  -125.54,          0,     0.00,  1.8001E-8,   -31.45
Line.157168,    192.068,   -35.12,    170.879,  -150.90,    202.973,    83.07,          0,     0.00,    33.2288,    13.74,    192.068,   144.88,    170.879,    29.10,    202.973,   -96.93,          0,     0.00,    33.2288,  -166.26
Line.174945, 2.73159E-6,    49.00, 2.74344E-6,   -70.65, 2.72211E-6,   169.18,          0,     0.00, 3.18604E-8,   -29.95, 8.91409E-12,    84.14, 8.7738E-12,    58.78, 1.09518E-11,  -175.24,          0,     0.00, 1.63961E-11,   109.44
Line.174947,    5.10629,   -65.46,    5.11329,   174.46,    5.10326,    54.43,          0,     0.00, 5.08101E-8,   149.48,    5.10629,   114.54,    5.11329,    -5.54,    5.10326,  -125.57,          0,     0.00, 5.14299E-8,   -30.41
Line.174948,    18.3327,   -65.78,    19.4981,   174.23,    16.1316,    54.70,          0,     0.00,    3.01433,  -148.03,    18.3327,   114.22,    19.4981,    -5.77,    16.1316,  -125.30,          0,     0.00,    3.01433,    31.97
Line.174950,    28.5854,   -65.77,    31.6824,   174.25,    26.3781,    54.48,          0,     0.00,    4.68867,  -162.31,    28.5854,   114.23,    31.6824,    -5.75,    26.3781,  -125.52,          0,     0.00,    4.68867,    17.69
Line.174951,    5.10629,   -65.46,    5.11329,   174.46,    5.10326,    54.43,          0,     0.00,   5.013E-8,   149.20,    5.10629,   114.54,    5.11329,    -5.54,    5.10326,  -125.57,          0,     0.00, 5.02147E-8,   -30.90
Line.174952,    23.4792,   -65.84,    26.5691,   174.21,    21.2749,    54.49,          0,     0.00,    4.68867,  -162.31,    23.4792,   114.16,    26.5691,    -5.79,    21.2749,  -125.51,          0,     0.00,    4.68867,    17.69
Line.174953,    23.4792,   -65.84,    26.5691,   174.21,    21.2749,    54.49,          0,     0.00,    4.68867,  -162.31,    23.4792,   114.16,    26.5691,    -5.79,    21.2749,  -125.51,          0,     0.00,    4.68867,    17.69
Line.174954,    23.4792,   -65.84,    24.6518,   174.16,    21.2749,    54.49,          0,     0.00,    3.01433,  -148.03,    23.4792,   114.16,    24.6518,    -5.84,    21.2749,  -125.51,          0,     0.00,    3.01433,    31.97
Line.174955,    18.3327,   -65.78,    19.4981,   174.23,    16.1316,    54.70,          0,     0.00,    3.01433,  -148.03,    18.3327,   114.22,    19.4981,    -5.77,    16.1316,  -125.30,          0,     0.00,    3.01433,    31.97
Line.174956,    5.10629,   -65.46,    5.11329,   174.46,    5.10326,    54.43,          0,     0.00, 5.09393E-8,   150.08,    5.10629,   114.54,    5.11329,    -5.54,    5.10326,  -125.57,          0,     0.00, 5.09393E-8,   -29.92
Line.174957,    5.14658,   -66.05,    5.15372,   173.87,    5.14369,    53.84,          0,     0.00,  7.2041E-8,   150.04,    5.14658,   113.95,    5.15372,    -6.13,    5.14369,  -126.16,          0,     0.00, 7.36391E-8,   -29.93
Line.174958,  0.0674957,  -118.76,  0.0676369,   121.23,  0.0675613,     1.13,          0,     0.00, 2.45426E-8,   149.42,  0.0674957,    61.23,  0.0676369,   -58.77,  0.0675614,  -178.87,          0,     0.00, 2.47856E-8,   -29.94
Line.174959,  0.0674956,  -118.76,  0.0676368,   121.23,  0.0675613,     1.13,          0,     0.00, 2.33822E-8,   150.43,  0.0674957,    61.24,  0.0676369,   -58.77,  0.0675613,  -178.87,          0,     0.00, 2.40338E-8,   -29.57
Line.174960,  0.0674957,  -118.77,  0.0676369,   121.23,  0.0675614,     1.13,          0,     0.00, 2.51952E-8,   150.37,  0.0674957,    61.23,  0.0676369,   -58.77,  0.0675614,  -178.87,          0,     0.00, 2.51952E-8,   -29.63
Line.174961,    18.3327,   -65.78,          0,     0.00,          0,     0.00,          0,     0.00,    18.3327,   -65.78,    18.3327,   114.22,          0,     0.00,          0,     0.00,          0,     0.00,    18.3327,   114.22
Line.174962,    14.6591,   -65.74,          0,     0.00,          0,     0.00,          0,     0.00,    14.6591,   -65.74,    14.6591,   114.26,          0,     0.00,          0,     0.00,          0,     0.00,    14.6591,   114.26
Line.174963,    12.2189,   -65.78,          0,     0.00,          0,     0.00,          0,     0.00,    12.2189,   -65.78,    12.2189,   114.22,          0,     0.00,          0,     0.00,          0,     0.00,    12.2189,   114.22
Line.174964,    7.32911,   -65.73,          0,     0.00,          0,     0.00,          0,     0.00,    7.32911,   -65.73,    7.32911,   114.27,          0,     0.00,          0,     0.00,          0,     0.00,    7.32911,   114.27
Line.174965,    4.88929,   -65.82,          0,     0.00,          0,     0.00,          0,     0.00,    4.88929,   -65.82,    4.88929,   114.18,          0,     0.00,          0,     0.00,          0,     0.00,    4.88929,   114.18
Line.174966,    16.1316,    54.70,          0,     0.00,          0,     0.00,          0,     0.00,    16.1316,    54.70,    16.1316,  -125.30,          0,     0.00,          0,     0.00,          0,     0.00,    16.1316,  -125.30
Line.174967,    4.03956,    54.53,          0,     0.00,          0,     0.00,          0,     0.00,    4.03956,    54.53,    4.03956,  -125.47,          0,     0.00,          0,     0.00,          0,     0.00,    4.03956,  -125.47
Line.174968,    4.03973,    54.52,          0,     0.00,          0,     0.00,          0,     0.00,    4.03973,    54.52,    4.03973,  -125.48,          0,     0.00,          0,     0.00,          0,     0.00,    4.03973,  -125.48
Line.174969,    8.05239,    54.87,          0,     0.00,          0,     0.00,          0,     0.00,    8.05239,    54.87,    8.05239,  -125.13,          0,     0.00,          0,     0.00,          0,     0.00,    8.05239,  -125.13
Line.174970,    5.36822,    54.87,          0,     0.00,          0,     0.00,          0,     0.00,    5.36822,    54.87,    5.36822,  -125.13,          0,     0.00,          0,     0.00,          0,     0.00,    5.36822,  -125.13
Line.174971,    2.68411,    54.87,          0,     0.00,          0,     0.00,          0,     0.00,    2.68411,    54.87,    2.68411,  -125.13,          0,     0.00,          0,     0.00,          0,     0.00,    2.68411,  -125.13
Line.174972,    2.68411,    54.87,          0,     0.00,          0,     0.00,          0,     0.00,    2.68411,    54.87,    2.68411,  -125.13,          0,     0.00,          0,     0.00,          0,     0.00,    2.68411,  -125.13
Line.174973,    19.4981,   174.23,          0,     0.00,          0,     0.00,          0,     0.00,    19.4981,   174.23,    19.4981,    -5.77,          0,     0.00,          0,     0.00,          0,     0.00,    19.4981,    -5.77
Line.174974,    15.6053,   174.21,          0,     0.00,          0,     0.00,          0,     0.00,    15.6053,   174.21,    15.6053,    -5.79,          0,     0.00,          0,     0.00,          0,     0.00,    15.6053,    -5.79
Line.174975,    11.7119,   174.19,          0,     0.00,          0,     0.00,          0,     0.00,    11.7119,   174.19,    11.7119,    -5.81,          0,     0.00,          0,     0.00,          0,     0.00,    11.7119,    -5.81
Line.174976,    2.58624,   174.68,          0,     0.00,          0,     0.00,          0,     0.00,    2.58624,   174.68,    2.58624,    -5.32,          0,     0.00,          0,     0.00,          0,     0.00,    2.58624,    -5.32
Line.174977,    9.12575,   174.05,          0,     0.00,          0,     0.00,          0,     0.00,    9.12575,   174.05,    9.12575,    -5.95,          0,     0.00,          0,     0.00,          0,     0.00,    9.12575,    -5.95
Line.174978,    3.94383,   173.58,          0,     0.00,          0,     0.00,          0,     0.00,    3.94383,   173.58,    3.94383,    -6.42,          0,     0.00,          0,     0.00,          0,     0.00,    3.94383,    -6.42
Line.174979,    0.07072,   129.66,          0,     0.00,          0,     0.00,          0,     0.00,    0.07072,   129.66,    0.07072,   -50.34,          0,     0.00,          0,     0.00,          0,     0.00,    0.07072,   -50.34
Line.174980,    28.5854,   114.23,    31.6824,    -5.75,      26.42,  -125.61,          0,     0.00,    4.63131,    17.77,    28.5854,   -65.77,    31.6824,   174.25,      26.42,    54.39,          0,     0.00,    4.63131,  -162.23
Line.174981, 5.09912E-8,    49.24, 5.08688E-8,   -70.69, 5.04385E-8,   169.49,          0,     0.00, 5.56979E-10,   -19.86, 2.34643E-10,  -119.74, 1.97927E-10,  -107.10, 3.50457E-10,   131.63,          0,     0.00, 4.27985E-10,  -162.18
Line.174982,    28.5854,   114.23,    31.6824,    -5.75,      26.42,  -125.61,          0,     0.00,    4.63131,    17.77,    28.5854,   -65.77,    31.6824,   174.25,      26.42,    54.39,          0,     0.00,    4.63131,  -162.23
Line.174983,     104.14,   142.76,    109.144,    21.27,    103.134,   -97.10,          0,     0.00,     6.0545,     2.57,     104.14,   -37.24,    109.144,  -158.73,    103.134,    82.90,          0,     0.00,     6.0545,  -177.43
Line.174984, 2.29625E-7,    49.04,  2.3068E-7,   -70.60, 2.28723E-7,   169.21,          0,     0.00,  2.8277E-9,   -28.97, 7.00016E-11,  -114.57, 1.19998E-10,   104.04, 7.27596E-12,   -90.00,          0,     0.00, 7.38653E-11,   142.00
Line.174987,    80.1975,   -27.44,    82.1888,  -148.65,    80.9045,    91.86,          0,     0.00,    1.99734,   145.10,    80.1975,   152.56,    82.1888,    31.35,    80.9045,   -88.14,          0,     0.00,    1.99734,   -34.90
Line.174988,    48.3605,    16.79,    48.7654,  -106.09,    48.3661,   135.35,          0,     0.00,    1.96142,   145.88,    48.3605,  -163.21,    48.7654,    73.91,    48.3661,   -44.65,          0,     0.00,    1.96142,   -34.12
Line.174989,    7.58862,   -65.96,    5.15768,   173.65,    5.14872,    53.62,          0,     0.00,    2.43805,   -65.27,    7.58862,   114.04,    5.15768,    -6.35,    5.14872,  -126.38,          0,     0.00,    2.43805,   114.73
Line.174990,    56.6721,   -63.96,    56.8197,   175.87,    56.6313,    55.86,          0,     0.00,  0.0447662,   108.86,    56.6721,   116.04,    56.8197,    -4.13,    56.6313,  -124.14,          0,     0.00,  0.0447662,   -71.14
Line.174991, 7.45637E-8,    49.08, 7.49421E-8,   -70.63, 7.45405E-8,   169.22,          0,     0.00, 6.23571E-10,   -41.69, 5.82077E-11,     0.00, 2.32033E-10,    41.19, 1.19998E-10,  -165.96,          0,     0.00, 1.69859E-10,    46.74
Line.174994,    20.1663,    54.74,          0,     0.00,          0,     0.00,          0,     0.00,    20.1663,    54.74,    20.1663,  -125.26,          0,     0.00,          0,     0.00,          0,     0.00,    20.1663,  -125.26
Line.174995,     104.14,   142.76,    109.144,    21.27,    103.134,   -97.10,          0,     0.00,     6.0545,     2.57,     104.14,   -37.24,    109.144,  -158.73,    103.134,    82.90,          0,     0.00,     6.0545,  -177.43
Line.174998,    119.478,   139.02,    124.656,    17.84,    118.416,  -100.92,          0,     0.00,     6.0545,     2.57,    119.478,   -40.98,    124.656,  -162.16,    118.416,    79.08,          0,     0.00,     6.0545,  -177.43
Line.174999,    119.927,   138.91,    124.656,    17.84,    118.416,  -100.92,          0,     0.00,    5.89176,     7.05,    119.927,   -41.09,    124.656,  -162.16,    118.416,    79.08,          0,     0.00,    5.89176,  -172.95
Line.175000,    20.1663,    54.74,          0,     0.00,          0,     0.00,          0,     0.00,    20.1663,    54.74,    20.1663,  -125.26,          0,     0.00,          0,     0.00,          0,     0.00,    20.1663,  -125.26
Line.175001,  0.0675699,    61.26,  0.0677181,   -58.75,  0.0676354,  -178.86,          0,     0.00, 2.69588E-8,   -29.53,  0.0675698,  -118.74,   0.067718,   121.25,  0.0676354,     1.14,          0,     0.00, 2.67716E-8,   150.68
Line.175002,    7.58862,   -65.96,    5.15768,   173.65,    5.14872,    53.62,          0,     0.00,    2.43805,   -65.27,    7.58862,   114.04,    5.15768,    -6.35,    5.14872,  -126.38,          0,     0.00,    2.43805,   114.73
Line.175003,    5.15083,   -66.28,    5.15768,   173.65,    5.14872,    53.62,          0,     0.00, 7.78368E-8,   151.03,    5.15083,   113.72,    5.15768,    -6.35,    5.14872,  -126.38,          0,     0.00, 7.88753E-8,   -28.96
Line.175004,  0.0675698,  -118.74,   0.067718,   121.25,  0.0676353,     1.14,          0,     0.00,  2.5961E-8,   151.33,  0.0675698,    61.26,   0.067718,   -58.75,  0.0676354,  -178.86,          0,     0.00, 2.63791E-8,   -28.75
Line.175005,  0.0675699,  -118.74,  0.0677181,   121.25,  0.0676354,     1.14,          0,     0.00, 2.66698E-8,   150.30,  0.0675699,    61.26,  0.0677181,   -58.75,  0.0676354,  -178.86,          0,     0.00, 2.66698E-8,   -29.70
Line.175006,    14.8089,    54.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.8089,    54.66,    14.8089,  -125.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.8089,  -125.34
Line.175007,    130.007,   136.89,    124.656,    17.84,    137.041,  -104.39,          0,     0.00,    11.7793,  -151.05,    130.007,   -43.11,    124.656,  -162.16,    137.041,    75.61,          0,     0.00,    11.7793,    28.95
Line.175008,    138.456,   159.36,    134.111,    41.20,    143.637,   -82.89,          0,     0.00,    12.1334,  -153.63,    138.456,   -20.64,    134.111,  -138.80,    143.637,    97.11,          0,     0.00,    12.1334,    26.37
Line.175009,    14.8089,    54.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.8089,    54.66,    14.8089,  -125.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.8089,  -125.34
Line.175010,    14.6821,   -65.80,          0,     0.00,          0,     0.00,          0,     0.00,    14.6821,   -65.80,    14.6821,   114.20,          0,     0.00,          0,     0.00,          0,     0.00,    14.6821,   114.20
Line.175011,     2.4408,   -65.50,          0,     0.00,          0,     0.00,          0,     0.00,     2.4408,   -65.50,     2.4408,   114.50,          0,     0.00,          0,     0.00,          0,     0.00,     2.4408,   114.50
Line.175013,    12.2413,   -65.86,          0,     0.00,          0,     0.00,          0,     0.00,    12.2413,   -65.86,    12.2413,   114.14,          0,     0.00,          0,     0.00,          0,     0.00,    12.2413,   114.14
Line.175014,    3.67499,   -65.90,          0,     0.00,          0,     0.00,          0,     0.00,    3.67499,   -65.90,    3.67499,   114.10,          0,     0.00,          0,     0.00,          0,     0.00,    3.67499,   114.10
Line.175015,    8.56633,   -65.84,          0,     0.00,          0,     0.00,          0,     0.00,    8.56633,   -65.84,    8.56633,   114.16,          0,     0.00,          0,     0.00,          0,     0.00,    8.56633,   114.16
Line.175016,    3.67498,   -65.90,          0,     0.00,          0,     0.00,          0,     0.00,    3.67498,   -65.90,    3.67498,   114.10,          0,     0.00,          0,     0.00,          0,     0.00,    3.67498,   114.10
Line.175017,    4.89135,   -65.79,          0,     0.00,          0,     0.00,          0,     0.00,    4.89135,   -65.79,    4.89135,   114.21,          0,     0.00,          0,     0.00,          0,     0.00,    4.89135,   114.21
Line.175018,    2.44084,   114.46,          0,     0.00,          0,     0.00,          0,     0.00,    2.44084,   114.46,    2.44084,   -65.54,          0,     0.00,          0,     0.00,          0,     0.00,    2.44084,   -65.54
Line.175019,    3.67507,   -65.94,          0,     0.00,          0,     0.00,          0,     0.00,    3.67507,   -65.94,    3.67507,   114.06,          0,     0.00,          0,     0.00,          0,     0.00,    3.67507,   114.06
Line.175020,    6.11587,   114.22,          0,     0.00,          0,     0.00,          0,     0.00,    6.11587,   114.22,    6.11587,   -65.78,          0,     0.00,          0,     0.00,          0,     0.00,    6.11587,   -65.78
Line.175021,    11.0072,   114.20,          0,     0.00,          0,     0.00,          0,     0.00,    11.0072,   114.20,    11.0072,   -65.80,          0,     0.00,          0,     0.00,          0,     0.00,    11.0072,   -65.80
Line.175022,    14.8089,    54.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.8089,    54.66,    14.8089,  -125.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.8089,  -125.34
Line.175023,    20.1663,    54.74,          0,     0.00,          0,     0.00,          0,     0.00,    20.1663,    54.74,    20.1663,  -125.26,          0,     0.00,          0,     0.00,          0,     0.00,    20.1663,  -125.26
Line.175024,    14.7875,    54.76,          0,     0.00,          0,     0.00,          0,     0.00,    14.7875,    54.76,    14.7875,  -125.24,          0,     0.00,          0,     0.00,          0,     0.00,    14.7875,  -125.24
Line.175025,    10.7472,    54.82,          0,     0.00,          0,     0.00,          0,     0.00,    10.7472,    54.82,    10.7472,  -125.18,          0,     0.00,          0,     0.00,          0,     0.00,    10.7472,  -125.18
Line.175026,    5.36844,    54.98,          0,     0.00,          0,     0.00,          0,     0.00,    5.36844,    54.98,    5.36844,  -125.02,          0,     0.00,          0,     0.00,          0,     0.00,    5.36844,  -125.02
Line.175027,    2.68406,    55.00,          0,     0.00,          0,     0.00,          0,     0.00,    2.68406,    55.00,    2.68406,  -125.00,          0,     0.00,          0,     0.00,          0,     0.00,    2.68406,  -125.00
